July 24, 2026   16:07:43
Probe Approach Curve
File: 20260724_pac_positive_pt side_ptume 0.18_1
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

112.900, 1.897e-9
113.900, 1.894e-9
114.900, 1.896e-9
115.900, 1.895e-9
116.900, 1.894e-9
117.900, 1.896e-9
118.900, 1.893e-9
119.900, 1.895e-9
120.900, 1.895e-9
121.900, 1.893e-9
122.900, 1.895e-9
123.900, 1.892e-9
124.900, 1.894e-9
125.900, 1.894e-9
126.900, 1.893e-9
127.900, 1.895e-9
128.900, 1.892e-9
129.900, 1.894e-9
130.900, 1.893e-9
131.900, 1.892e-9
132.900, 1.894e-9
133.900, 1.892e-9
134.900, 1.893e-9
135.900, 1.893e-9
136.900, 1.891e-9
137.900, 1.894e-9
138.900, 1.891e-9
139.900, 1.892e-9
140.900, 1.893e-9
141.900, 1.890e-9
142.900, 1.893e-9
143.900, 1.891e-9
144.900, 1.891e-9
145.900, 1.893e-9
146.900, 1.890e-9
147.900, 1.892e-9
148.900, 1.891e-9
149.900, 1.890e-9
150.900, 1.892e-9
151.900, 1.889e-9
152.900, 1.891e-9
153.900, 1.891e-9
154.900, 1.889e-9
155.900, 1.892e-9
156.900, 1.889e-9
157.900, 1.890e-9
158.900, 1.890e-9
159.900, 1.888e-9
160.900, 1.891e-9
161.900, 1.888e-9
162.900, 1.890e-9
163.900, 1.890e-9
164.900, 1.888e-9
165.900, 1.891e-9
166.900, 1.888e-9
167.900, 1.889e-9
168.900, 1.890e-9
169.900, 1.887e-9
170.900, 1.890e-9
171.900, 1.888e-9
172.900, 1.888e-9
173.900, 1.889e-9
174.900, 1.887e-9
175.900, 1.889e-9
176.900, 1.888e-9
177.900, 1.886e-9
178.900, 1.889e-9
179.900, 1.887e-9
180.900, 1.887e-9
181.900, 1.888e-9
182.900, 1.886e-9
183.900, 1.888e-9
184.900, 1.886e-9
185.900, 1.887e-9
186.900, 1.888e-9
187.900, 1.885e-9
188.900, 1.888e-9
189.900, 1.886e-9
190.900, 1.886e-9
191.900, 1.888e-9
192.900, 1.885e-9
193.900, 1.887e-9
194.900, 1.886e-9
195.900, 1.885e-9
196.900, 1.887e-9
197.900, 1.884e-9
198.900, 1.886e-9
199.900, 1.885e-9
200.900, 1.885e-9
201.900, 1.884e-9
202.900, 1.886e-9
203.900, 1.884e-9
204.900, 1.886e-9
205.900, 1.885e-9
206.900, 1.884e-9
207.900, 1.886e-9
208.900, 1.883e-9
209.900, 1.886e-9
210.900, 1.884e-9
211.900, 1.884e-9
212.900, 1.885e-9
213.900, 1.883e-9
214.900, 1.885e-9
215.900, 1.883e-9
216.900, 1.884e-9
217.900, 1.885e-9
218.900, 1.882e-9
219.900, 1.885e-9
220.900, 1.883e-9
221.900, 1.883e-9
222.900, 1.885e-9
223.900, 1.882e-9
224.900, 1.884e-9
225.900, 1.883e-9
226.900, 1.882e-9
227.900, 1.884e-9
228.900, 1.881e-9
229.900, 1.884e-9
230.900, 1.882e-9
231.900, 1.881e-9
232.900, 1.884e-9
233.900, 1.881e-9
234.900, 1.883e-9
235.900, 1.882e-9
236.900, 1.881e-9
237.900, 1.884e-9
238.900, 1.881e-9
239.900, 1.882e-9
240.900, 1.882e-9
241.900, 1.880e-9
242.900, 1.883e-9
243.900, 1.881e-9
244.900, 1.881e-9
245.900, 1.882e-9
246.900, 1.880e-9
247.900, 1.883e-9
248.900, 1.881e-9
249.900, 1.880e-9
250.900, 1.882e-9
251.900, 1.879e-9
252.900, 1.882e-9
253.900, 1.880e-9
254.900, 1.880e-9
255.900, 1.882e-9
256.900, 1.879e-9
257.900, 1.881e-9
258.900, 1.880e-9
259.900, 1.879e-9
260.900, 1.882e-9
261.900, 1.879e-9
262.900, 1.880e-9
263.900, 1.880e-9
264.900, 1.879e-9
265.900, 1.881e-9
266.900, 1.878e-9
267.900, 1.880e-9
268.900, 1.880e-9
269.900, 1.878e-9
270.900, 1.880e-9
271.900, 1.879e-9
272.900, 1.878e-9
273.900, 1.880e-9
274.900, 1.877e-9
275.900, 1.880e-9
276.900, 1.879e-9
277.900, 1.878e-9
278.900, 1.880e-9
279.900, 1.877e-9
280.900, 1.879e-9
281.900, 1.879e-9
282.900, 1.877e-9
283.900, 1.880e-9
284.900, 1.877e-9
285.900, 1.878e-9
286.900, 1.879e-9
287.900, 1.876e-9
288.900, 1.879e-9
289.900, 1.878e-9
290.900, 1.877e-9
291.900, 1.879e-9
292.900, 1.876e-9
293.900, 1.879e-9
294.900, 1.878e-9
295.900, 1.877e-9
296.900, 1.879e-9
297.900, 1.876e-9
298.900, 1.878e-9
299.900, 1.878e-9
300.900, 1.876e-9
301.900, 1.879e-9
302.900, 1.876e-9
303.900, 1.877e-9
304.900, 1.877e-9
305.900, 1.876e-9
306.900, 1.878e-9
307.900, 1.876e-9
308.900, 1.876e-9
309.900, 1.878e-9
310.900, 1.875e-9
311.900, 1.878e-9
312.900, 1.876e-9
313.900, 1.876e-9
314.900, 1.877e-9
315.900, 1.874e-9
316.900, 1.877e-9
317.900, 1.876e-9
318.900, 1.874e-9
319.900, 1.877e-9
320.900, 1.874e-9
321.900, 1.876e-9
322.900, 1.876e-9
323.900, 1.874e-9
324.900, 1.877e-9
325.900, 1.874e-9
326.900, 1.875e-9
327.900, 1.876e-9
328.900, 1.873e-9
329.900, 1.876e-9
330.900, 1.874e-9
331.900, 1.874e-9
332.900, 1.876e-9
333.900, 1.873e-9
334.900, 1.876e-9
335.900, 1.874e-9
336.900, 1.874e-9
337.900, 1.876e-9
338.900, 1.873e-9
339.900, 1.875e-9
340.900, 1.875e-9
341.900, 1.873e-9
342.900, 1.876e-9
343.900, 1.873e-9
344.900, 1.875e-9
345.900, 1.875e-9
346.900, 1.873e-9
347.900, 1.876e-9
348.900, 1.873e-9
349.900, 1.874e-9
350.900, 1.875e-9
351.900, 1.872e-9
352.900, 1.875e-9
353.900, 1.873e-9
354.900, 1.873e-9
355.900, 1.875e-9
356.900, 1.872e-9
357.900, 1.875e-9
358.900, 1.873e-9
359.900, 1.873e-9
360.900, 1.875e-9
361.900, 1.872e-9
362.900, 1.874e-9
363.900, 1.873e-9
364.900, 1.872e-9
365.900, 1.874e-9
366.900, 1.872e-9
367.900, 1.874e-9
368.900, 1.874e-9
369.900, 1.872e-9
370.900, 1.874e-9
371.900, 1.871e-9
372.900, 1.872e-9
373.900, 1.873e-9
374.900, 1.871e-9
375.900, 1.874e-9
376.900, 1.871e-9
377.900, 1.872e-9
378.900, 1.873e-9
379.900, 1.871e-9
380.900, 1.873e-9
381.900, 1.871e-9
382.900, 1.872e-9
383.900, 1.873e-9
384.900, 1.870e-9
385.900, 1.873e-9
386.900, 1.871e-9
387.900, 1.871e-9
388.900, 1.872e-9
389.900, 1.870e-9
390.900, 1.873e-9
391.900, 1.871e-9
392.900, 1.871e-9
393.900, 1.872e-9
394.900, 1.870e-9
395.900, 1.873e-9
396.900, 1.870e-9
397.900, 1.871e-9
398.900, 1.872e-9
399.900, 1.870e-9
400.900, 1.872e-9
401.900, 1.870e-9
402.900, 1.870e-9
403.900, 1.870e-9
404.900, 1.872e-9
405.900, 1.869e-9
406.900, 1.872e-9
407.900, 1.872e-9
408.900, 1.870e-9
409.900, 1.872e-9
410.900, 1.869e-9
411.900, 1.869e-9
412.900, 1.870e-9
413.900, 1.868e-9
414.900, 1.871e-9
415.900, 1.869e-9
416.900, 1.869e-9
417.900, 1.871e-9
418.900, 1.868e-9
419.900, 1.871e-9
420.900, 1.869e-9
421.900, 1.869e-9
422.900, 1.871e-9
423.900, 1.868e-9
424.900, 1.870e-9
425.900, 1.869e-9
426.900, 1.869e-9
427.900, 1.870e-9
428.900, 1.867e-9
429.900, 1.870e-9
430.900, 1.869e-9
431.900, 1.868e-9
432.900, 1.870e-9
433.900, 1.867e-9
434.900, 1.870e-9
435.900, 1.868e-9
436.900, 1.868e-9
437.900, 1.870e-9
438.900, 1.867e-9
439.900, 1.869e-9
440.900, 1.869e-9
441.900, 1.868e-9
442.900, 1.870e-9
443.900, 1.867e-9
444.900, 1.869e-9
445.900, 1.868e-9
446.900, 1.867e-9
447.900, 1.870e-9
448.900, 1.867e-9
449.900, 1.869e-9
450.900, 1.868e-9
451.900, 1.867e-9
452.900, 1.869e-9
453.900, 1.866e-9
454.900, 1.869e-9
455.900, 1.868e-9
456.900, 1.867e-9
457.900, 1.869e-9
458.900, 1.866e-9
459.900, 1.868e-9
460.900, 1.868e-9
461.900, 1.866e-9
462.900, 1.869e-9
463.900, 1.866e-9
464.900, 1.868e-9
465.900, 1.867e-9
