May 26, 2026   15:31:05
Probe Approach Curve
File: c:\users\secm-account\desktop\data\katarina\20260526\pacs_au _1.txt
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

196.900, -2.004e-9
197.900, -2.005e-9
198.900, -2.004e-9
199.900, -2.004e-9
200.900, -2.004e-9
201.900, -2.003e-9
202.900, -2.001e-9
203.900, -2.002e-9
204.900, -2.001e-9
205.900, -2.001e-9
206.900, -2.001e-9
207.900, -2.000e-9
208.900, -2.000e-9
209.900, -1.999e-9
210.900, -1.999e-9
211.900, -1.999e-9
212.900, -1.998e-9
213.900, -1.998e-9
214.900, -1.998e-9
215.900, -1.998e-9
216.900, -1.998e-9
217.900, -1.998e-9
218.900, -1.997e-9
219.900, -1.997e-9
220.900, -1.995e-9
221.900, -1.996e-9
222.900, -1.994e-9
223.900, -1.994e-9
224.900, -1.994e-9
225.900, -1.992e-9
226.900, -1.993e-9
227.900, -1.992e-9
228.900, -1.991e-9
229.900, -1.992e-9
230.900, -1.990e-9
231.900, -1.991e-9
232.900, -1.990e-9
233.900, -1.989e-9
234.900, -1.990e-9
235.900, -1.989e-9
236.900, -1.989e-9
237.900, -1.989e-9
238.900, -1.988e-9
239.900, -1.988e-9
240.900, -1.987e-9
241.900, -1.987e-9
242.900, -1.986e-9
243.900, -1.985e-9
244.900, -1.986e-9
245.900, -1.985e-9
246.900, -1.985e-9
247.900, -1.986e-9
248.900, -1.984e-9
249.900, -1.985e-9
250.900, -1.984e-9
251.900, -1.983e-9
252.900, -1.983e-9
253.900, -1.982e-9
254.900, -1.983e-9
255.900, -1.982e-9
256.900, -1.982e-9
257.900, -1.982e-9
258.900, -1.981e-9
259.900, -1.981e-9
260.900, -1.981e-9
261.900, -1.980e-9
262.900, -1.981e-9
263.900, -1.979e-9
264.900, -1.979e-9
265.900, -1.979e-9
266.900, -1.977e-9
267.900, -1.978e-9
268.900, -1.977e-9
269.900, -1.977e-9
270.900, -1.978e-9
271.900, -1.976e-9
272.900, -1.977e-9
273.900, -1.976e-9
274.900, -1.975e-9
275.900, -1.976e-9
276.900, -1.975e-9
277.900, -1.976e-9
278.900, -1.975e-9
279.900, -1.974e-9
280.900, -1.975e-9
281.900, -1.974e-9
282.900, -1.975e-9
283.900, -1.975e-9
284.900, -1.973e-9
285.900, -1.974e-9
286.900, -1.972e-9
287.900, -1.973e-9
288.900, -1.972e-9
289.900, -1.971e-9
290.900, -1.973e-9
291.900, -1.971e-9
292.900, -1.972e-9
293.900, -1.972e-9
294.900, -1.970e-9
295.900, -1.971e-9
296.900, -1.970e-9
297.900, -1.970e-9
298.900, -1.971e-9
299.900, -1.969e-9
300.900, -1.970e-9
301.900, -1.970e-9
302.900, -1.969e-9
303.900, -1.970e-9
304.900, -1.968e-9
305.900, -1.969e-9
306.900, -1.969e-9
307.900, -1.968e-9
308.900, -1.969e-9
309.900, -1.967e-9
310.900, -1.968e-9
311.900, -1.968e-9
312.900, -1.966e-9
313.900, -1.967e-9
314.900, -1.966e-9
315.900, -1.966e-9
316.900, -1.966e-9
317.900, -1.965e-9
318.900, -1.967e-9
319.900, -1.967e-9
320.900, -1.966e-9
321.900, -1.966e-9
322.900, -1.963e-9
323.900, -1.964e-9
324.900, -1.963e-9
325.900, -1.963e-9
326.900, -1.963e-9
327.900, -1.962e-9
328.900, -1.962e-9
329.900, -1.962e-9
330.900, -1.961e-9
331.900, -1.963e-9
332.900, -1.960e-9
333.900, -1.961e-9
334.900, -1.961e-9
335.900, -1.960e-9
336.900, -1.961e-9
337.900, -1.959e-9
338.900, -1.960e-9
339.900, -1.960e-9
340.900, -1.959e-9
341.900, -1.960e-9
342.900, -1.960e-9
343.900, -1.960e-9
344.900, -1.960e-9
345.900, -1.959e-9
346.900, -1.960e-9
347.900, -1.959e-9
348.900, -1.959e-9
349.900, -1.960e-9
350.900, -1.958e-9
351.900, -1.959e-9
352.900, -1.958e-9
353.900, -1.958e-9
354.900, -1.959e-9
355.900, -1.958e-9
356.900, -1.959e-9
357.900, -1.958e-9
358.900, -1.957e-9
359.900, -1.958e-9
360.900, -1.957e-9
361.900, -1.957e-9
362.900, -1.957e-9
363.900, -1.956e-9
364.900, -1.957e-9
365.900, -1.956e-9
366.900, -1.956e-9
367.900, -1.957e-9
368.900, -1.956e-9
369.900, -1.957e-9
370.900, -1.956e-9
371.900, -1.955e-9
372.900, -1.956e-9
373.900, -1.955e-9
374.900, -1.956e-9
375.900, -1.956e-9
376.900, -1.955e-9
377.900, -1.957e-9
378.900, -1.956e-9
379.900, -1.956e-9
380.900, -1.955e-9
381.900, -1.954e-9
382.900, -1.955e-9
383.900, -1.953e-9
384.900, -1.953e-9
385.900, -1.953e-9
386.900, -1.952e-9
387.900, -1.953e-9
388.900, -1.952e-9
389.900, -1.952e-9
390.900, -1.952e-9
391.900, -1.951e-9
392.900, -1.952e-9
393.900, -1.951e-9
394.900, -1.950e-9
395.900, -1.951e-9
396.900, -1.950e-9
397.900, -1.952e-9
398.900, -1.951e-9
399.900, -1.950e-9
400.900, -1.950e-9
401.900, -1.949e-9
402.900, -1.948e-9
403.900, -1.949e-9
404.900, -1.949e-9
405.900, -1.948e-9
406.900, -1.949e-9
407.900, -1.948e-9
408.900, -1.948e-9
409.900, -1.949e-9
410.900, -1.947e-9
411.900, -1.948e-9
412.900, -1.947e-9
413.900, -1.946e-9
414.900, -1.947e-9
415.900, -1.946e-9
416.900, -1.947e-9
417.900, -1.946e-9
418.900, -1.946e-9
419.900, -1.947e-9
420.900, -1.945e-9
421.900, -1.947e-9
422.900, -1.946e-9
423.900, -1.946e-9
424.900, -1.946e-9
425.900, -1.945e-9
426.900, -1.945e-9
427.900, -1.945e-9
428.900, -1.945e-9
